BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2016-02-17,Yandex clA,YNDX,4396,135733064.5,1064.0,1036.0,1081.0,1044.0,1065.5,1044.0,127367,1065.5,1065.5,1044.0,135733064.5,135733064.5,135733064.5,,3,SUR,-2.61
TQBR,2016-02-18,Yandex clA,YNDX,3049,118291159.5,1035.0,1004.0,1060.0,1014.0,1030.0,1014.0,114862,1030.0,1030.0,1014.0,118291159.5,118291159.5,118291159.5,,3,SUR,-2.87
TQBR,2016-02-19,Yandex clA,YNDX,4391,154374194.0,1005.0,976.5,1012.5,989.0,995.0,989.0,155183,995.0,995.0,989.0,154374194.0,154374194.0,154374194.0,,3,SUR,-2.47
TQBR,2016-02-20,Yandex clA,YNDX,944,14707813.0,985.5,980.0,996.0,988.0,991.5,988.0,14832,991.5,991.5,988.0,14707813.0,14707813.0,14707813.0,,3,SUR,-0.1
TQBR,2016-02-22,Yandex clA,YNDX,1259,47810479.5,996.0,986.0,1008.5,1002.5,1000.0,1002.5,47757,1001.0,1001.0,1002.5,47810479.5,47810479.5,47810479.5,,3,SUR,1.47
TQBR,2016-02-24,Yandex clA,YNDX,2432,74932163.5,990.5,972.0,1001.5,974.5,983.0,974.5,76231,983.0,983.0,974.5,74932163.5,74932163.5,74932163.5,,3,SUR,-2.79
TQBR,2016-02-25,Yandex clA,YNDX,2067,69137281.0,990.0,976.5,995.0,982.0,984.0,982.0,70286,983.5,983.5,982.0,69137281.0,69137281.0,69137281.0,,3,SUR,0.77
TQBR,2016-02-26,Yandex clA,YNDX,3558,144647440.0,977.5,975.5,1012.0,983.5,992.0,983.5,145778,992.0,992.0,983.5,144647440.0,144647440.0,144647440.0,,3,SUR,0.15
TQBR,2016-02-29,Yandex clA,YNDX,2066,66899813.5,980.0,976.0,994.5,978.0,984.0,978.0,67973,984.0,984.0,978.0,66899813.5,66899813.5,66899813.5,,3,SUR,-0.56
TQBR,2016-03-01,Yandex clA,YNDX,1998,61208588.5,975.5,971.0,991.5,989.5,981.0,989.5,62397,981.0,981.0,989.5,61208588.5,61208588.5,61208588.5,,3,SUR,1.18
TQBR,2016-03-02,Yandex clA,YNDX,2037,71176620.0,995.0,980.5,1009.0,1003.0,997.5,1003.0,71342,997.5,997.5,1003.0,71176620.0,71176620.0,71176620.0,,3,SUR,1.36
TQBR,2016-03-03,Yandex clA,YNDX,2913,128620180.0,1019.5,1010.0,1045.5,1018.0,1027.5,1018.0,125197,1027.5,1027.5,1018.0,128620180.0,128620180.0,128620180.0,,3,SUR,1.5
TQBR,2016-03-04,Yandex clA,YNDX,2303,115978635.0,1006.0,987.5,1021.0,999.0,1003.5,999.0,115556,1003.5,1003.5,999.0,115978635.0,115978635.0,115978635.0,,3,SUR,-1.87
TQBR,2016-03-07,Yandex clA,YNDX,1534,83653044.0,1095.5,1007.5,1095.5,1020.0,1024.5,1020.0,81633,1024.5,1024.5,1020.0,83653044.0,83653044.0,83653044.0,,3,SUR,2.1
